Anio,MES,OCUPACION,CCAA,CIFRAS_ABSOLUTAS
2023,12,Asalariados,Castilla - La Mancha,82250
2023,12,Asalariados,Castilla y Leon,77313
2023,12,Asalariados,Cataluna,385622
2023,12,Asalariados,Ceuta y Melilla,4670
2023,12,Asalariados,Comunidad Foral de Navarra,21559
2023,12,Asalariados,Comunidad Valenciana,202956
2023,12,Asalariados,Comunidad de Madrid,368624
2023,12,Asalariados,Extremadura,28326
2023,12,Asalariados,Galicia,97010
2023,12,Asalariados,Islas Baleares,122594
2023,12,Asalariados,La Rioja,7486
2023,12,Asalariados,Pais Vasco,74113
2023,12,Asalariados,Principado de Asturias,35753
2023,12,Asalariados,Region de Murcia,58310
2023,12,Autonomos,Andalucia,71034
2023,12,Autonomos,Aragon,10137
2023,12,Autonomos,Canarias,32193
2023,12,Autonomos,Cantabria,5709
2023,12,Autonomos,Castilla - La Mancha,21366
2023,12,Autonomos,Castilla y Leon,18744
2023,12,Autonomos,Cataluna,85751
2023,12,Autonomos,Comunidad Foral de Navarra,5679
2023,12,Autonomos,Comunidad Valenciana,51234
2023,12,Autonomos,Comunidad de Madrid,63752
2023,12,Autonomos,Extremadura,6972
2023,12,Autonomos,Galicia,31361
2023,12,Autonomos,Islas Baleares,21819
2023,12,Autonomos,Pais Vasco,19198
2023,12,Autonomos,Principado de Asturias,6408
2023,12,Autonomos,Region de Murcia,10148
2024,3,Asalariados,Andalucia,333685
2024,3,Asalariados,Aragon,55992
2024,3,Asalariados,Canarias,229143
2024,3,Asalariados,Cantabria,25526
2024,3,Asalariados,Castilla - La Mancha,81608
2024,3,Asalariados,Castilla y Leon,73641
2024,3,Asalariados,Cataluna,447739
2024,3,Asalariados,Ceuta y Melilla,4879
2024,3,Asalariados,Comunidad Foral de Navarra,21414
2024,3,Asalariados,Comunidad Valenciana,222767
2024,3,Asalariados,Comunidad de Madrid,373440
2024,3,Asalariados,Extremadura,27726
2024,3,Asalariados,Galicia,95633
2024,3,Asalariados,Islas Baleares,101713
2024,3,Asalariados,La Rioja,7499
2024,3,Asalariados,Pais Vasco,72592
2024,3,Asalariados,Principado de Asturias,38396
2024,3,Asalariados,Region de Murcia,51549
2024,3,Autonomos,Andalucia,75547
2024,3,Autonomos,Aragon,12852
2024,3,Autonomos,Canarias,27001
2024,3,Autonomos,Cantabria,6618
2024,3,Autonomos,Castilla - La Mancha,23359
2024,3,Autonomos,Castilla y Leon,18930
2024,3,Autonomos,Cataluna,90213
2024,3,Autonomos,Comunidad Valenciana,53378
2024,3,Autonomos,Comunidad de Madrid,71093
2024,3,Autonomos,Extremadura,9372
2024,3,Autonomos,Galicia,30433
2024,3,Autonomos,Islas Baleares,20151
2024,3,Autonomos,Pais Vasco,19910
2024,3,Autonomos,Principado de Asturias,8543
2024,3,Autonomos,Region de Murcia,12190
2024,6,Asalariados,Andalucia,390954
2024,6,Asalariados,Aragon,52621
2024,6,Asalariados,Canarias,236906
2024,6,Asalariados,Cantabria,29694
2024,6,Asalariados,Castilla - La Mancha,86415
2024,6,Asalariados,Castilla y Leon,77105
2024,6,Asalariados,Cataluna,440376
2024,6,Asalariados,Ceuta y Melilla,4746
2024,6,Asalariados,Comunidad Foral de Navarra,21889
2024,6,Asalariados,Comunidad Valenciana,243191
2024,6,Asalariados,Comunidad de Madrid,394208
2024,6,Asalariados,Extremadura,28694
2024,6,Asalariados,Galicia,96182
2024,6,Asalariados,Islas Baleares,184919
2024,6,Asalariados,La Rioja,7314
2024,6,Asalariados,Pais Vasco,81301
2024,6,Asalariados,Principado de Asturias,43055
2024,6,Asalariados,Region de Murcia,54453
2024,6,Autonomos,Andalucia,80002
2024,6,Autonomos,Aragon,11678
2024,6,Autonomos,Canarias,27723
2024,6,Autonomos,Cantabria,6458
2024,6,Autonomos,Castilla - La Mancha,21217
2024,6,Autonomos,Castilla y Leon,21015
2024,6,Autonomos,Cataluna,83193
2024,6,Autonomos,Comunidad Valenciana,68918
2024,6,Autonomos,Comunidad de Madrid,66988
2024,6,Autonomos,Extremadura,9416
2024,6,Autonomos,Galicia,29998
2024,6,Autonomos,Islas Baleares,18576
2024,6,Autonomos,Pais Vasco,16680
2024,6,Autonomos,Principado de Asturias,9026
2024,6,Autonomos,Region de Murcia,11774
2024,9,Asalariados,Andalucia,402105
2024,9,Asalariados,Aragon,48400
2024,9,Asalariados,Canarias,239028
2024,9,Asalariados,Cantabria,33401
2024,9,Asalariados,Castilla - La Mancha,88373
2024,9,Asalariados,Castilla y Leon,85642
2024,9,Asalariados,Cataluna,477017
2024,9,Asalariados,Ceuta y Melilla,4829
2024,9,Asalariados,Comunidad Foral de Navarra,23572
2024,9,Asalariados,Comunidad Valenciana,249902
2024,9,Asalariados,Comunidad de Madrid,396789
2024,9,Asalariados,Extremadura,28623
2024,9,Asalariados,Galicia,101087
2024,9,Asalariados,Islas Baleares,183129
2024,9,Asalariados,La Rioja,8938
2024,9,Asalariados,Pais Vasco,79831
2024,9,Asalariados,Principado de Asturias,39120
2024,9,Asalariados,Region de Murcia,61124
2024,9,Autonomos,Andalucia,74645
2024,9,Autonomos,Aragon,15309
2024,9,Autonomos,Canarias,30482
2024,9,Autonomos,Cantabria,6583
2024,9,Autonomos,Castilla - La Mancha,18199
